Company Name,fbId,fbPhotoId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 hasEvent,2008 hasEvent,2009 hasEvent,2010 hasEvent,2011 hasEvent,2012 hasEvent,2013 hasEvent,2014 hasEvent,2015 hasEvent,2016 hasEvent,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater
Ernst & Young,195665063800329,86462,0,0,0,0,6,10,73,53,194,162,0,0,0,0,1,15,207,68,249,118,0,0,0,0,65,336,6883,7784,16571,5903,0,0,0,0,65,336,6883,7784,16571,5951,0,0,0,0,0,1,30,1,58,13,0,0,0,0,5,9,62,46,142,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,25,19
Cooley,29631010782,186108,0,0,0,1,6,26,23,28,17,7,0,0,0,0,0,4,5,8,5,1,0,0,0,0,24,51,235,321,247,121,0,0,0,0,24,51,235,321,247,121,0,0,0,0,0,17,1,1,1,0,0,0,0,0,4,6,20,25,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,19,23,11,6
SRA International,45726451297,172387,0,0,1,13,170,131,77,1,113,40,0,0,0,6,46,34,41,0,14,17,0,0,0,5,66,153,234,0,170,71,0,0,0,5,66,153,234,0,170,71,0,0,0,0,6,107,34,0,0,0,0,0,0,6,32,13,31,0,93,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,13,24,0,62,35
CH2M Hill,130017893696618,149319,0,0,0,4,24,89,231,248,221,59,0,0,0,0,16,74,232,425,195,37,0,0,0,0,44,656,2630,4912,1446,196,0,0,0,0,44,656,2630,4912,1446,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,82,225,245,214,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,176,194,161,49
J. M. Smucker,117266245005679,150279,0,0,0,0,39,152,281,292,167,55,0,0,0,0,97,3475,10211,2682,14753,7048,0,0,0,0,485,20901,117243,141833,383618,84660,0,0,0,0,485,20901,117244,141833,383622,85653,0,0,0,0,2,0,0,25,0,0,0,0,0,0,23,141,270,264,167,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,96,153,59,9
Schweitzer Engineering Labs,148960375131063,132471,0,0,0,0,0,0,0,0,112,35,0,0,0,0,0,0,0,0,46,31,0,0,0,0,0,0,0,0,1416,997,0,0,0,0,0,0,0,0,1416,1022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,33
Ultimate Software,29660886831,50762,0,1,1,243,74,105,310,183,548,72,0,0,0,23,59,123,540,336,368,115,0,1,0,153,477,1813,6776,8243,8266,3835,0,1,0,153,477,1813,6777,8243,8266,4000,0,0,0,0,0,18,4,19,1,24,0,1,1,115,72,78,134,163,132,40,0,0,0,0,0,0,0,0,0,0,0,1,0,37,7,20,236,99,48,17
The Cheesecake Factory,341861972627674,184787,0,0,0,0,0,0,0,17,95,19,0,0,0,0,0,0,0,1,21,2,0,0,0,0,0,0,0,28,200,23,0,0,0,0,0,0,0,28,200,23,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,13
Navy Federal Credit Union,160344204010636,132470,0,0,0,1,128,218,1096,527,537,235,0,0,0,3,203,11526,15952,2862,3514,1167,0,0,0,8,576,93843,237748,117301,175665,34289,0,0,0,8,576,93843,237749,117302,175666,34752,0,0,0,0,42,40,282,170,1,1,0,0,0,0,88,155,842,289,147,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,171,231,48,9
Stew Leonard's,33439252677,138913,0,28,4,460,474,715,803,922,1076,670,0,13,58,581,2668,10173,23669,11300,7732,18400,0,23,119,1649,6853,49926,49530,32593,47395,54298,0,23,119,1649,6853,49926,49530,32593,47395,55203,0,0,0,0,5,143,138,344,253,319,0,27,4,173,395,601,623,561,705,271,0,0,0,0,0,0,0,0,0,0,0,1,2,18,21,202,416,446,734,337
World Wide Technology,75577218799,77895,0,0,128,472,321,457,368,446,335,80,0,0,5,7,20,27,201,52,77,35,0,0,1,35,59,418,6303,2207,2488,1996,0,0,1,35,59,418,6303,2207,2489,2021,0,0,0,0,0,257,20,328,160,22,0,0,4,11,9,29,155,80,143,66,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,23,281,83,95,26
Scottrade,15601935371,56325,0,8,18,51,43,87,102,154,169,34,0,2,3,30,24,815,1125,1715,1662,305,0,17,34,167,74,4817,7099,16205,37004,20124,0,17,34,167,74,4817,7099,16205,37004,20354,0,0,0,0,0,5,0,0,0,0,0,7,15,40,35,80,96,146,168,34,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,37,67,84,28,12
Intel,22707976849,74967,0,4,49,6,213,246,245,239,440,132,0,55,326,186,12378,185301,273272,54818,18696,4471,0,444,1926,983,72949,6007970,15011679,10976803,5783233,1585752,0,444,1926,983,72992,6007998,15011681,10976804,5783257,1590690,0,0,0,0,0,25,0,0,48,0,0,0,45,6,109,201,230,237,368,92,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,100,113,126,34,53
Sheetz,21120170500,184636,0,0,0,23,197,171,272,436,380,143,0,0,0,48,828,12398,68199,21275,26609,10902,0,0,0,95,3057,164766,460987,657282,1113078,178988,0,0,0,95,3057,164768,460988,657282,1113079,183625,0,0,0,0,0,0,0,12,0,0,0,0,0,17,76,148,224,389,353,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,183,140,194,109
Balfour Beatty Construction,114292728603934,72533,0,0,0,0,0,30,57,95,20,17,0,0,0,0,0,14,134,209,93,19,0,0,0,0,0,195,1390,2310,634,325,0,0,0,0,0,195,1390,2311,634,327,0,0,0,0,0,9,9,16,0,0,0,0,0,0,0,21,46,82,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,76,16,14
Discovery Communications,153549641890,181510,0,0,0,61,0,368,460,331,208,58,0,0,0,1,0,106,95,107,234,95,0,0,0,7,0,1496,1869,2507,1386,398,0,0,0,7,0,1496,1869,2507,1386,417,0,0,0,0,0,138,117,147,79,48,0,0,0,19,0,315,327,168,120,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72,167,159,62,8
KPMG,274830721660,129674,0,0,0,0,54,884,2497,2290,2720,640,0,0,0,0,6,168,293,219,188,84,0,0,0,0,39,1708,4077,3804,3599,777,0,0,0,0,39,1708,4077,3804,3599,783,0,0,0,0,29,499,1981,1955,1364,410,0,0,0,0,6,513,2028,1345,1253,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,33,76,59,55
CHG Healthcare Services,32264600947,15833,0,7,0,77,13,79,457,474,823,773,0,5,0,4,10,92,506,334,316,97,0,0,0,21,55,966,6466,6562,6478,2636,0,0,0,21,55,966,6466,6562,6478,2681,0,0,0,0,0,2,27,14,10,104,0,4,0,4,10,47,337,193,143,88,0,0,0,0,0,0,0,0,0,0,0,2,0,10,3,37,144,243,468,377
Alston & Bird,109329898949,49197,0,0,13,2,5,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,10,0,0,0,0,0,0,9,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0
Scripps Health,12150039095,84514,0,15,1,106,33,55,201,174,170,27,0,2,0,44,46,72,588,381,482,43,0,2,1,119,103,1270,10874,8930,14340,1504,0,2,1,119,103,1270,10874,8930,14340,1530,0,0,0,0,0,15,0,40,15,2,0,14,0,105,32,35,199,172,150,27,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,21,126,81,73,9
Nugget Market,260624001193,56653,0,0,0,311,213,168,161,134,79,14,0,0,0,1209,328,295,189,101,163,10,0,0,0,1747,994,1626,1507,2012,5122,758,0,0,0,1747,994,1626,1507,2012,5122,771,0,0,0,0,0,0,0,0,0,0,0,0,0,300,189,155,133,77,72,8,0,0,0,0,0,0,0,0,0,0,0,0,0,64,16,52,125,96,38,7
Children's Healthcare of Atlanta,356527358185,76456,0,0,0,141,232,210,260,266,248,82,0,0,0,377,840,1553,7008,83107,65800,8926,0,0,0,1865,3694,30805,323903,5406631,2212671,349483,0,0,0,1866,3694,30805,323905,5406634,2212736,365371,0,0,0,0,4,11,0,0,0,0,0,0,0,95,110,171,249,244,242,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,62,121,161,58,55
Genentech,146718898672043,97737,0,0,0,0,2,15,95,305,175,60,0,0,0,0,3,11,15,85,30,3,0,0,0,0,10,354,679,1779,767,225,0,0,0,0,10,354,679,1779,767,227,0,0,0,0,0,0,15,30,22,0,0,0,0,0,2,12,76,191,141,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,158,67,38
Baptist Health South Florida,127900310965,71466,0,0,72,160,1026,629,512,506,292,410,0,0,11,52,295,183,214,158,162,32,0,0,59,257,1928,4630,7213,13182,5754,613,0,0,59,257,1928,4630,7213,13185,5754,634,0,0,0,0,112,267,276,143,37,20,0,0,70,65,401,185,176,230,105,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,112,200,171,11
Capital One,131080263606125,133645,0,0,0,3,18,415,239,231,93,30,0,0,0,133,4696,2630,2359,7320,6547,12197,0,0,0,662,29915,21595,19112,88784,76958,70447,0,0,0,662,29915,21595,19115,88798,76983,72151,0,0,0,0,0,10,0,46,9,0,0,0,0,0,4,376,222,207,73,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47,75,94,28,5
NetApp,144947005540685,2418,0,0,0,65,2,1,15,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,4,35,26,18,0,0,0,0,5,9,4,35,26,18,0,0,0,0,0,0,0,6,0,0,0,0,0,0,19,2,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,2,0
Umpqua Bank,136874746358544,97739,0,0,0,0,60,120,171,142,175,25,0,0,0,0,32,5207,117,311,823,71,0,0,0,0,94,10790,1908,4534,5728,1133,0,0,0,0,94,10790,1908,4534,5728,1166,0,0,0,0,0,25,9,0,0,0,0,0,0,0,59,108,128,54,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,33,83,49,18
Sherwin-Williams,309180132920,172209,0,0,0,25,198,143,278,326,211,49,0,0,0,253,1604,8327,20752,14688,6574,1762,0,0,0,237,2774,11019,63941,213781,211912,67549,0,0,0,237,2774,11019,63941,213785,211918,67958,0,0,0,0,0,0,0,0,11,0,0,0,0,19,173,131,272,301,119,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,58,202,181,97,33
SVB Financial Group,17979232866,64589,0,4,9,7,39,202,355,159,129,21,0,0,2,0,4,52,153,49,46,14,0,0,10,14,49,858,2811,1657,1369,493,0,0,10,14,49,858,2811,1657,1369,496,0,0,0,0,1,108,156,60,60,0,0,0,5,7,28,118,278,88,81,20,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,36,89,34,15,7
SAS,140344030787,1133,0,0,60,127,305,261,140,215,19,3,0,0,166,1414,2717,5064,11994,741,704,60,0,0,629,8357,19719,75024,109991,23069,11129,656,0,0,629,8357,19719,75024,109992,23069,11130,671,0,0,0,0,12,72,31,107,0,0,0,0,33,96,234,192,76,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,24,61,77,22,13,0
Roche Diagnostics,116286801731230,180331,0,0,0,2,16,37,89,120,94,123,0,0,0,0,6,192,333,1272,269,414,0,0,0,11,95,789,1983,4293,6815,6763,0,0,0,11,95,789,1984,4293,6818,6879,0,0,0,0,0,0,0,0,0,56,0,0,0,0,1,28,82,107,93,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,55,55,33,28
Herman Miller,162638622561,164234,0,0,131,126,97,420,358,240,414,81,0,0,45,115,451,1780,1323,227,263,68,0,0,286,574,3291,43030,53380,16529,16637,3818,0,0,286,574,3291,43030,53381,16529,16647,3899,0,0,0,0,0,28,0,14,0,0,0,0,52,94,83,368,336,205,295,65,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,154,255,148,198,61
Gilbane,258541740902855,146598,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mayo Clinic,7673082516,104132,0,5,0,316,129,190,454,1016,1291,364,0,5,0,47,331,8625,6163,11519,20941,3546,0,219,0,341,1936,201303,219242,436286,749762,121947,0,219,0,341,1939,201303,219242,436289,749767,124707,0,0,0,0,10,8,2,1,2,0,0,5,0,20,26,123,448,1015,1290,364,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,47,236,592,228,50
Recreational Equipment (REI),9062006483,13136,0,1,12,73,160,743,7687,584,773,282,0,5,121,342,1646,14847,21713,25302,42320,20206,0,28,178,808,5272,318589,450075,1428518,2757566,1519801,0,28,178,808,5272,318589,450081,1428523,2757598,1539277,0,0,0,0,0,10,813,0,0,0,0,0,9,72,135,384,474,557,730,262,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,164,5836,220,165,74
Quicken Loans,435141649940642,16582,0,0,0,0,0,0,6,124,268,350,0,0,0,0,0,0,0,37,45,201,0,0,0,0,0,0,22,415,442,1358,0,0,0,0,0,0,22,415,442,1384,0,0,0,0,0,0,0,26,178,53,0,0,0,0,0,0,3,57,80,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,35,66
Rackspace Hosting,147298628669538,104909,0,0,0,0,36,9,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Mars,211095382256023,180555,0,0,0,0,117,139,142,295,186,76,0,0,0,0,59,492,1416,1256,664,141,0,0,0,0,445,7197,20679,18189,16303,4263,0,0,0,0,445,7197,20679,18189,16308,4339,0,0,0,0,0,0,0,30,13,32,0,0,0,0,29,121,138,169,110,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,105,135,105,29
Camden Property Trust,128051573873366,2703,0,0,0,82,32,5,37,13,86,81,0,0,0,10,1,18,31,7,13,20,0,0,0,10,1,173,739,386,545,378,0,0,0,10,1,173,739,386,545,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,4,54,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,12,30,44
Winchester Hospital,107079996018373,158157,0,0,0,7,127,188,91,54,176,62,0,0,0,14,111,182,662,183,394,130,0,0,0,33,508,1363,5486,1377,3564,1341,0,0,0,33,508,1363,5486,1377,3564,1371,0,0,0,0,0,0,0,0,6,12,0,0,0,4,127,65,46,17,161,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,46,83,23,49,22
Perkins Coie,263371857101546,85932,0,0,0,0,0,10,9,7,8,3,0,0,0,0,0,3,2,4,3,0,0,0,0,0,0,15,38,98,65,17,0,0,0,0,0,15,38,98,65,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,6,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3
GoDaddy.com,8749090685,120641,0,3,43,291,81,162,196,132,178,44,0,1,36,293,463,1841,4687,3263,5798,1012,0,9,61,786,2194,13246,57646,45219,292187,50340,0,9,61,786,2194,13246,57646,45219,292188,50482,0,0,0,0,0,3,6,0,12,0,0,0,20,108,39,144,165,113,172,34,0,0,0,0,0,0,0,0,0,0,0,3,3,8,2,36,67,59,29,4
Qualcomm,115831370196,48680,0,0,125,50,26,35,65,111,86,19,0,0,14,2,2,62,127,120,46,10,0,0,58,8,11,594,3391,2524,1488,169,0,0,58,8,11,594,3391,2524,1489,174,0,0,0,0,0,0,0,0,0,0,0,0,14,31,8,27,50,93,81,19,0,0,0,0,0,0,0,0,0,0,0,0,16,3,1,17,44,67,66,16
Aéropostale,57143807607,155048,0,0,91,377,623,847,1138,800,667,276,0,0,2028,18451,45760,104848,113389,55944,10552,1170,0,0,5781,97108,240241,3453083,9591831,22197552,4923200,157119,0,0,5781,97108,240241,3453083,9591867,22197554,4923225,159807,0,0,0,0,3,76,14,0,0,0,0,0,0,154,198,711,999,777,661,273,0,0,0,0,0,0,0,0,0,0,0,0,20,27,51,145,79,10,27,12
Booz Allen Hamilton,115188672790,109995,0,0,50,207,338,89,33,62,163,222,0,0,9,26,70,20,15,169,113,109,0,0,50,178,545,507,465,59273,5824,3985,0,0,50,178,545,507,465,59273,5824,4032,0,0,0,0,0,7,0,0,0,0,0,0,33,128,249,63,13,38,148,221,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,5,13,80,157
Intercontinental Hotels Group,7933762697,133790,0,3,0,0,0,23,12,33,61,13,0,13,0,0,0,202,114,107,179,14,0,36,0,0,0,2862,1804,2172,3329,334,0,36,0,0,0,2862,1804,2172,3329,336,0,0,0,0,0,1,0,0,11,2,0,2,0,0,0,20,8,8,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,27,46,6
Aflac,13994086254,107491,0,0,10,27,0,73,114,37,45,39,0,0,3,16,0,396,794,728,573,268,0,0,21,119,0,8685,16337,10870,12151,7019,0,0,21,119,0,8686,16337,10870,12151,7307,0,0,0,0,0,1,0,0,0,0,0,0,10,4,0,70,114,36,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,35,10,7,31
Atlantic Health,91507407676,96220,0,0,14,0,1,30,11,14,7,0,0,0,1,0,0,8,4,1,0,0,0,0,2,0,0,25,37,36,10,0,0,0,2,0,0,25,37,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,12,7,0
Nordstrom,12854644836,93859,0,1,71,1313,286,973,821,562,301,89,0,8,701,5052,5579,92008,154476,75362,146677,55644,0,39,3409,18377,37681,1860920,3284566,2536025,11573125,5918911,0,39,3410,18377,37681,1860924,3284568,2536042,11573273,6033437,0,0,0,0,0,1,24,0,0,0,0,1,69,421,271,894,789,536,287,84,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,118,323,322,84,47
Millennium: The Takeda Oncology Company,201874996515231,58284,0,0,0,0,10,128,291,53,60,19,0,0,0,0,0,34,18,12,10,3,0,0,0,0,64,881,747,286,484,250,0,0,0,0,64,881,747,286,484,253,0,0,0,0,0,1,0,3,5,0,0,0,0,0,9,93,102,33,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72,129,22,46,16
CarMax,58226901193,117697,0,0,22,181,195,179,153,139,96,8,0,0,21,390,714,1063,2389,6383,3098,76,0,0,111,682,1339,4046,12529,60907,118350,336,0,0,111,682,1339,4046,12529,60907,118351,348,0,0,0,0,0,2,29,0,3,0,0,0,14,178,170,167,150,101,77,8,0,0,0,0,0,0,0,0,0,0,0,0,8,18,10,27,62,96,57,6
FedEx,150993094945648,160454,0,0,0,31,168,174,275,483,434,136,0,0,0,372,1331,7827,49903,48807,31724,8232,0,0,0,1196,5634,61646,541149,930609,732474,181552,0,0,0,1202,5634,61646,541152,930611,732483,183096,0,0,0,0,0,4,0,21,0,17,0,0,0,2,32,165,256,335,337,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,258,157,45
Novo Nordisk,105548031768,72532,0,0,1,0,53,254,231,213,230,13,0,0,0,0,51,447,849,303,486,97,0,0,13,0,428,9691,30321,84121,90123,4414,0,0,13,0,428,9691,30321,84122,90124,4496,0,0,0,0,0,1,3,19,51,0,0,0,0,0,43,215,209,125,147,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,52,76,52,5
DreamWorks Animation SKG,104770457523,36754,0,0,4,85,135,364,148,246,363,50,0,0,192,1967,5223,15502,18013,31404,12732,410,0,0,782,13604,50242,357370,645543,1921659,944507,15577,0,0,782,13604,50244,357373,645547,1921670,944556,15743,0,0,0,0,0,22,0,0,0,0,0,0,3,73,135,330,144,233,341,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,44,74,143,76,11
Teach For America,8433834471,100354,0,16,55,49,111,156,231,706,320,294,0,4,1,35,165,1031,2245,3099,4480,608,0,1,1,398,3378,24395,65348,167173,249674,33229,0,1,1,398,3378,24395,65349,167174,249678,34158,0,0,0,0,0,0,0,465,0,236,0,0,0,39,97,131,205,134,228,63,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,61,125,113,77,40
PricewaterhouseCoopers,232561027513,76451,0,0,0,5,28,162,168,198,156,53,0,0,0,0,33,160,151,80,113,83,0,0,0,13,360,2380,4038,3430,7566,3614,0,0,0,13,360,2380,4038,3430,7566,3631,0,0,0,0,0,10,47,39,0,0,0,0,0,2,19,154,136,161,155,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,17,19,21,15
WellStar Health System,94455639888,179475,0,0,109,0,2,50,577,778,592,221,0,0,3,0,2,22,557,2093,2007,476,0,0,15,0,1,466,7321,39997,31724,5591,0,0,15,0,1,466,7321,39997,31724,5699,0,0,0,0,0,6,0,74,18,13,0,0,5,0,0,48,555,630,545,189,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,35,551,484,122,14
Credit Acceptance,168678439842388,179586,0,0,0,0,13,156,63,16,10,8,0,0,0,0,7,42,27,60,71,37,0,0,0,0,48,572,362,159,234,137,0,0,0,0,48,572,362,159,238,142,0,0,0,0,0,33,32,0,0,0,0,0,0,0,12,95,62,11,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,16,9,5
Mercedes-Benz USA,6604386669,35160,14,0,28,309,1115,1675,2125,3096,2438,742,600,0,2250,14674,36084,114513,178952,76394,33580,6067,2613,0,15652,90385,397110,4028381,11759330,5209423,2635210,341404,2613,0,15652,90391,397111,4028410,11759411,5209591,2635634,350616,0,0,0,0,0,0,1,11,1,0,0,0,19,203,986,877,1931,2456,2349,732,0,0,0,0,0,0,0,0,0,0,0,0,0,2,125,259,35,61,659,442
Chesapeake Energy,201579567564,42219,0,0,5,550,360,230,349,93,20,21,0,0,1,257,195,482,419,90,20,0,0,0,2,446,590,5160,8869,3249,490,27,0,0,2,446,590,5160,8869,3249,490,27,0,0,0,1,0,3,23,0,0,12,0,0,4,511,251,197,311,73,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,35,121,43,11,15
General Mills,163903596981363,96154,0,0,0,4,13,145,183,38,38,9,0,0,0,1,9,242,266,126,44,12,0,0,0,9,86,1188,1996,527,483,19,0,0,0,9,86,1188,1996,527,483,19,0,0,0,0,0,14,4,0,0,5,0,0,0,2,10,132,180,34,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,144,28,33,8
Deloitte,667369363331771,97051,0,0,0,0,0,0,0,5,19,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,25,1,0,0,0,0,0,0,0,10,25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4
