companyString,date,fbId,fbPhotoId,count(*),commentsCount,likesCount,reactionsCount,hasPlace,hasCaption,hasEvent,updatedLater
Recreational Equipment (REI),2013,9062006483,4461,7687,21713,450075,450081,813,474,0,5836
Mercedes-Benz USA,2014,6604386669,26757,3096,76394,5209423,5209591,11,2456,0,61
KPMG,2015,274830721660,121284,2720,188,3599,3599,1364,1253,0,59
KPMG,2013,274830721660,126294,2497,293,4077,4077,1981,2028,0,33
Mercedes-Benz USA,2015,6604386669,24299,2438,33580,2635210,2635634,1,2349,0,659
KPMG,2014,274830721660,124004,2290,219,3804,3804,1955,1345,0,76
Zappos.com,2012,7172307686,19428,2244,15090,87501,87501,1288,2073,0,297
Four Seasons Hotels,2011,106280431030,142853,2161,9003,71589,71591,222,1831,0,2
Mercedes-Benz USA,2013,6604386669,29892,2125,178952,11759330,11759411,1,1931,0,35
Four Seasons Hotels,2012,106280431030,141034,1819,16238,420060,420061,653,1787,0,41
Mercedes-Benz USA,2012,6604386669,32033,1675,114513,4028381,4028410,0,877,0,259
OhioHealth,2013,40814021698,114201,1531,568,6484,6484,784,486,0,394
Nordstrom,2010,12854644836,92475,1313,5052,18377,18377,0,421,0,28
Mayo Clinic,2015,7673082516,100736,1291,20941,749762,749767,2,1290,0,228
Zappos.com,2013,7172307686,18152,1276,17447,721939,721939,65,1268,0,657
Zappos.com,2011,7172307686,21672,1207,3026,4193,4194,21,139,0,12
Texas Instruments,2014,234443101357,167469,1155,1270,133224,133224,189,1091,0,527
Texas Instruments,2013,234443101357,168624,1144,1809,71286,71286,226,1037,0,691
Aéropostale,2013,57143807607,152063,1138,113389,9591831,9591867,14,999,0,79
Mercedes-Benz USA,2011,6604386669,33708,1115,36084,397110,397111,0,986,0,125
Salesforce.com,2011,5634829153,53372,1103,694,2948,2948,56,872,0,2
Navy Federal Credit Union,2013,160344204010636,131028,1096,15952,237748,237749,282,842,0,171
Stew Leonard's,2015,33439252677,134427,1076,7732,47395,47395,253,705,0,734
Texas Instruments,2015,234443101357,166404,1064,755,211601,211601,55,1051,0,134
Baptist Health South Florida,2011,127900310965,70280,1026,295,1928,1928,112,401,0,35
Mayo Clinic,2014,7673082516,102027,1016,11519,436286,436289,1,1015,0,592
Salesforce.com,2012,5634829153,52368,1005,5134,46052,46052,186,796,0,102
Nordstrom,2012,12854644836,91216,973,92008,1860920,1860924,1,894,0,118
Zappos.com,2014,7172307686,17186,966,55528,987376,987377,0,909,0,363
JM Family Enterprises,2012,215824265320,39629,958,183,2022,2022,628,81,0,105
Stew Leonard's,2014,33439252677,135539,922,11300,32593,32593,344,561,0,446
OhioHealth,2014,40814021698,113286,914,259,7018,7018,358,728,0,211
KPMG,2012,274830721660,128791,884,168,1708,1708,499,513,0,92
LifeBridge Health,2012,193538150681786,163200,875,281,2858,2858,157,509,0,324
Adobe,2012,305115773870,66838,869,2094,26235,26235,399,595,0,158
Four Seasons Hotels,2013,106280431030,140170,864,13840,519793,519795,385,771,0,98
Aéropostale,2012,57143807607,153201,847,104848,3453083,3453083,76,711,0,145
CHG Healthcare Services,2015,32264600947,13899,823,316,6478,6478,10,143,0,468
Nordstrom,2013,12854644836,90395,821,154476,3284566,3284568,24,789,0,323
Stew Leonard's,2013,33439252677,136462,803,23669,49530,49530,138,623,0,416
Aéropostale,2014,57143807607,151261,800,55944,22197552,22197554,0,777,0,10
David Weekley Homes,2014,8146864018,173924,795,3686,18051,18051,0,607,0,606
David Weekley Homes,2015,8146864018,173134,786,5687,23309,23315,3,346,0,580
WellStar Health System,2014,94455639888,178070,778,2093,39997,39997,74,630,0,484
LifeBridge Health,2016,193538150681786,160556,775,121,3283,3304,55,690,0,114
CHG Healthcare Services,2016,32264600947,13137,773,97,2636,2681,104,88,0,377
Recreational Equipment (REI),2015,9062006483,3104,773,42320,2757566,2757598,0,730,0,165
LifeBridge Health,2015,193538150681786,161333,756,221,4162,4162,22,483,0,372
St. Jude Children's Research Hospital,2013,6435441794,62262,752,86513,4956787,4956793,8,335,0,572
Southern Ohio Medical Center,2013,220886824589689,59897,745,645,9715,9718,130,134,0,262
Southern Ohio Medical Center,2015,220886824589689,58449,744,559,5063,5064,46,118,0,41
Recreational Equipment (REI),2012,9062006483,12148,743,14847,318589,318589,10,384,0,164
Mercedes-Benz USA,2016,6604386669,23582,742,6067,341404,350616,0,732,0,442
Southern Ohio Medical Center,2012,220886824589689,60642,725,203,2838,2838,557,118,0,78
Stew Leonard's,2012,33439252677,137264,715,10173,49926,49926,143,601,0,202
OhioHealth,2012,40814021698,115732,710,404,2507,2507,377,411,0,65
Teach For America,2014,8433834471,99046,706,3099,167173,167174,465,134,0,113
Southern Ohio Medical Center,2014,220886824589689,59193,704,322,4711,4711,137,126,0,62
Adobe,2014,305115773870,65511,702,2326,79409,79410,0,596,0,363
Robert W. Baird,2014,148731991811588,43772,686,12,513,513,400,138,0,39
Adobe,2015,305115773870,64836,675,1036,30723,30729,5,634,0,111
Four Seasons Hotels,2014,106280431030,139495,675,5225,236300,236301,243,609,0,22
Stew Leonard's,2016,33439252677,133793,670,18400,54298,55203,319,271,0,337
Aéropostale,2015,57143807607,150594,667,10552,4923200,4923225,0,661,0,27
KPMG,2016,274830721660,120644,640,84,777,783,410,291,0,55
Container Store,2012,59375573322,46714,634,3737,19648,19648,46,237,0,139
OhioHealth,2015,40814021698,112655,631,638,16255,16255,53,283,0,226
Adobe,2013,305115773870,66213,630,7004,114766,114767,25,595,0,359
LifeBridge Health,2013,193538150681786,162571,629,357,5554,5554,303,365,0,303
Baptist Health South Florida,2012,127900310965,69651,629,183,4630,4630,267,185,0,42
Aéropostale,2011,57143807607,154048,623,45760,240241,240241,3,198,0,51
Robert W. Baird,2015,148731991811588,43150,622,22,1438,1438,246,60,0,108
Salesforce.com,2013,5634829153,51760,610,8888,180475,180475,3,602,0,467
OhioHealth,2011,40814021698,116442,609,95,216,216,0,352,0,0
WellStar Health System,2015,94455639888,177477,592,2007,31724,31724,18,545,0,122
American Express,2010,6185812851,88431,589,562,1980,1980,0,568,0,0
Recreational Equipment (REI),2014,9062006483,3877,584,25302,1428518,1428523,0,557,0,220
WellStar Health System,2013,94455639888,178848,577,557,7321,7321,0,555,0,551
American Express,2014,6185812851,87130,565,6434,209730,209730,10,496,0,240
Nordstrom,2014,12854644836,89831,562,75362,2536025,2536042,0,536,0,322
Container Store,2011,59375573322,47297,560,1175,3754,3754,0,367,0,2
Container Store,2015,59375573322,45206,559,3622,219450,219453,0,504,0,187
Container Store,2014,59375573322,45761,551,2186,87946,87948,0,371,0,316
Chesapeake Energy,2010,201579567564,41669,550,257,446,446,1,511,0,1
Ultimate Software,2015,29660886831,49299,548,368,8266,8266,1,132,0,48
Navy Federal Credit Union,2015,160344204010636,129964,537,3514,175665,175666,1,147,0,48
Navy Federal Credit Union,2014,160344204010636,130501,527,2862,117301,117302,170,289,0,231
Container Store,2010,59375573322,47857,524,1887,2595,2595,0,332,0,16
Baptist Health South Florida,2013,127900310965,69093,512,214,7213,7213,276,176,0,112
"ARI, Automotive Resources International",2012,282991730710,176746,508,7,144,144,45,241,0,272
Baptist Health South Florida,2014,127900310965,68631,506,158,13182,13185,143,230,0,200
Microsoft,2013,9298666412,106300,496,3674,43679,43679,189,324,0,89
Brocade Communications Systems,2012,111983056070,147523,492,73,997,997,108,101,0,197
St. Jude Children's Research Hospital,2014,6435441794,61775,487,94454,7190066,7190123,0,411,0,286
JM Family Enterprises,2013,215824265320,39142,487,280,4188,4188,266,94,0,197
FedEx,2014,150993094945648,159353,483,48807,930609,930611,21,335,0,258
LifeBridge Health,2014,193538150681786,162091,480,158,2156,2156,72,314,0,293
Stew Leonard's,2011,33439252677,137979,474,2668,6853,6853,5,395,0,21
CHG Healthcare Services,2014,32264600947,14733,474,334,6562,6562,14,193,0,243
Build-A-Bear Workshop,2014,8783725165,94167,474,8998,105516,105519,0,202,0,115
American Express,2015,6185812851,86655,473,4720,66633,66637,20,366,0,85
American Express,2013,6185812851,87695,472,10127,309942,309942,17,423,0,252
World Wide Technology,2010,75577218799,79903,472,7,35,35,0,11,0,6
Zappos.com,2015,7172307686,16715,471,92113,1731689,1731735,0,462,0,91
MITRE,2013,151373044800,155729,467,404,6094,6094,46,400,0,119
Discovery Communications,2013,153549641890,182107,460,95,1869,1869,117,327,0,167
Stew Leonard's,2010,33439252677,138453,460,581,1649,1649,0,173,0,18
World Wide Technology,2012,75577218799,79125,457,27,418,418,257,29,0,23
CHG Healthcare Services,2013,32264600947,15206,457,506,6466,6466,27,337,0,144
Mayo Clinic,2013,7673082516,103043,454,6163,219242,219242,2,448,0,236
World Wide Technology,2014,75577218799,78311,446,52,2207,2207,328,80,0,83
JM Family Enterprises,2014,215824265320,38702,440,232,5700,5700,309,276,0,70
Intel,2015,22707976849,73529,440,18696,5783233,5783257,48,368,0,34
Publix Super Markets,2014,209968985766607,107960,438,6112,23020,23020,19,373,0,183
MITRE,2012,151373044800,156196,437,943,3334,3334,25,363,0,28
Brocade Communications Systems,2013,111983056070,147086,437,75,4341,4341,255,327,0,97
Sheetz,2014,21120170500,183555,436,21275,657282,657282,12,389,0,140
FedEx,2015,150993094945648,158919,434,31724,732474,732483,0,337,0,157
"ARI, Automotive Resources International",2014,282991730710,175996,431,25,940,940,8,41,0,80
Salesforce.com,2014,5634829153,51330,430,1329,31334,31334,0,409,0,193
Marriott International,2014,143602039041041,84827,428,2933,80986,80987,24,342,0,191
Men's Wearhouse,2014,199928852452,82507,425,2823,45653,45654,0,352,0,245
American Express,2009,6185812851,89020,422,173,1064,1064,0,299,0,2
Herman Miller,2012,162638622561,165328,420,1780,43030,43030,28,368,0,154
Capital One,2012,131080263606125,133212,415,2630,21595,21595,10,376,0,47
Herman Miller,2015,162638622561,164315,414,263,16637,16647,0,295,0,198
Baptist Health South Florida,2016,127900310965,67929,410,32,613,634,20,386,0,11
Robert W. Baird,2013,148731991811588,44458,404,44,570,570,310,48,0,63
Publix Super Markets,2013,209968985766607,108399,401,4276,14702,14702,39,356,0,301
Container Store,2013,59375573322,46320,394,2465,48779,48780,0,329,0,196
Four Seasons Hotels,2015,106280431030,139105,390,1827,78323,78337,193,344,0,38
Men's Wearhouse,2013,199928852452,82938,387,21895,450304,450309,0,380,0,94
Sheetz,2015,21120170500,183159,380,26609,1113078,1113079,0,353,0,194
Aéropostale,2010,57143807607,154671,377,18451,97108,97108,0,154,0,27
Kimpton Hotels & Restaurants,2013,51530158577,37360,373,1937,17826,17826,35,355,0,211
Brocade Communications Systems,2011,111983056070,148015,370,63,372,372,6,89,0,2
Discovery Communications,2012,153549641890,182567,368,106,1496,1496,138,315,0,72
World Wide Technology,2013,75577218799,78757,368,201,6303,6303,20,155,0,281
Marriott International,2013,143602039041041,85259,365,8861,102866,102937,3,316,0,173
DreamWorks Animation SKG,2012,104770457523,36170,364,15502,357370,357373,22,330,0,44
St. Jude Children's Research Hospital,2012,6435441794,63014,364,25066,1419084,1419086,59,318,0,37
Mayo Clinic,2016,7673082516,100370,364,3546,121947,124707,0,364,0,50
DreamWorks Animation SKG,2015,104770457523,35411,363,12732,944507,944556,0,341,0,76
Zappos.com,2009,7172307686,23006,362,1376,462,462,0,2,0,20
Chesapeake Energy,2011,201579567564,41309,360,195,590,590,0,251,0,1
Texas Instruments,2012,234443101357,169760,359,439,7912,7912,39,310,0,122
David Weekley Homes,2016,8146864018,172780,359,3195,20504,20915,0,103,0,331
Herman Miller,2013,162638622561,164970,358,1323,53380,53381,0,336,0,255
SVB Financial Group,2013,17979232866,63977,355,153,2811,2811,156,278,0,89
Quicken Loans,2016,435141649940642,15840,350,201,1358,1384,53,72,0,66
Chesapeake Energy,2013,201579567564,40727,349,419,8869,8869,23,311,0,121
Booz Allen Hamilton,2011,115188672790,110117,338,70,545,545,0,249,0,0
World Wide Technology,2015,75577218799,77975,335,77,2488,2489,160,143,0,95
David Weekley Homes,2011,8146864018,175092,331,58,392,392,0,324,0,1
Discovery Communications,2014,153549641890,181776,331,107,2507,2507,147,168,0,159
The Everett Clinic,2015,61452139395,111907,330,365,5681,5681,51,111,0,206
Publix Super Markets,2015,209968985766607,107633,328,2729,15056,15058,20,270,0,155
Sherwin-Williams,2014,309180132920,171258,326,14688,213781,213785,0,301,0,181
World Wide Technology,2011,75577218799,79582,321,20,59,59,0,9,0,2
Teach For America,2015,8433834471,98726,320,4480,249674,249678,0,228,0,77
"ARI, Automotive Resources International",2013,282991730710,176427,319,35,751,751,27,87,0,179
Mayo Clinic,2010,7673082516,103816,316,47,341,341,0,20,0,2
Nugget Market,2010,260624001193,57422,311,1209,1747,1747,0,300,0,64
Build-A-Bear Workshop,2012,8783725165,94893,310,19332,310736,310738,19,193,0,99
Ultimate Software,2013,29660886831,50030,310,540,6776,6777,4,134,0,236
Mercedes-Benz USA,2010,6604386669,34823,309,14674,90385,90391,0,203,0,2
Hitachi Data Systems,2014,124570004251813,111070,309,175,3039,3039,0,229,0,68
PCL Construction Enterprises,2015,109150299248234,54997,307,256,5560,5560,5,166,0,208
Genentech,2014,146718898672043,97314,305,85,1779,1779,30,191,0,158
SAS,2011,140344030787,1770,305,2717,19719,19719,12,234,0,24
Texas Instruments,2016,234443101357,166102,302,226,60166,60232,32,298,0,9
Nordstrom,2015,12854644836,89530,301,146677,11573125,11573273,0,287,0,84
Men's Wearhouse,2012,199928852452,83328,301,6669,111287,111287,0,285,0,19
American Fidelity Assurance,2015,333011163569,75069,300,56,2965,2965,0,272,0,81
"ARI, Automotive Resources International",2015,282991730710,175700,296,35,560,560,1,30,0,70
Grainger,2015,265544390144768,157090,296,66,1210,1210,128,138,0,57
Arkansas Children's Hospital,2015,112657538333,145442,296,3599,136460,136505,9,220,0,204
Mars,2014,211095382256023,180817,295,1256,18189,18189,30,169,0,135
MITRE,2015,151373044800,155154,295,312,2799,2799,6,280,0,101
Teach For America,2016,8433834471,98432,294,608,33229,34158,236,63,0,40
J. M. Smucker,2014,117266245005679,149551,292,2682,141833,141833,25,264,0,153
Baptist Health South Florida,2015,127900310965,68339,292,162,5754,5754,37,105,0,171
Hitachi Data Systems,2015,124570004251813,110778,292,105,1385,1385,96,50,0,87
Millennium: The Takeda Oncology Company,2013,201874996515231,57865,291,18,747,747,0,102,0,129
David Weekley Homes,2013,8146864018,174724,291,1145,9611,9611,0,289,0,201
GoDaddy.com,2010,8749090685,120307,291,293,786,786,0,108,0,8
Kimpton Hotels & Restaurants,2014,51530158577,37071,289,2261,21177,21177,0,164,0,217
Morningstar,2012,198056910214033,117317,288,29,70,70,0,268,0,1
Nordstrom,2011,12854644836,92189,286,5579,37681,37681,0,271,0,7
Recreational Equipment (REI),2016,9062006483,2822,282,20206,1519801,1539277,0,262,0,74
Accenture,2015,20341500871,118756,281,102,2442,2442,17,269,0,24
J. M. Smucker,2013,117266245005679,149841,281,10211,117243,117244,0,270,0,96
MITRE,2014,151373044800,155449,280,110,4536,4536,0,216,0,119
Arkansas Children's Hospital,2014,112657538333,145739,279,1680,58080,58080,32,195,0,131
Sherwin-Williams,2013,309180132920,171590,278,20752,63941,63941,0,272,0,202
Marriott International,2012,143602039041041,85625,278,10247,95588,95589,1,266,0,60
Aéropostale,2016,57143807607,150318,276,1170,157119,159807,0,273,0,12
FedEx,2013,150993094945648,159837,275,49903,541149,541152,0,256,0,100
St. Jude Children's Research Hospital,2015,6435441794,61498,275,50592,2602166,2602239,0,213,0,94
Sheetz,2013,21120170500,184010,272,68199,460987,460988,0,224,0,183
Men's Wearhouse,2015,199928852452,82236,268,3021,130202,130204,10,207,0,101
QuikTrip,2015,5890187327,96319,268,13594,158345,158345,0,229,0,66
Quicken Loans,2015,435141649940642,16005,268,45,442,442,178,80,0,35
Children's Healthcare of Atlanta,2014,356527358185,76786,266,83107,5406631,5406634,0,244,0,161
Salesforce.com,2015,5634829153,51067,263,920,14411,14415,0,232,0,48
Autodesk,2012,74463019717,81583,262,457,1494,1494,25,251,0,28
SAS,2012,140344030787,1510,261,5064,75024,75024,72,192,0,61
Children's Healthcare of Atlanta,2013,356527358185,77052,260,7008,323903,323905,0,249,0,121
USAA,2012,161179599992,42630,254,114,731,731,5,21,0,26
Novo Nordisk,2012,105548031768,72225,254,447,9691,9691,1,215,0,23
Kimpton Hotels & Restaurants,2015,51530158577,36816,254,1566,21712,21713,1,115,0,175
Build-A-Bear Workshop,2013,8783725165,94641,252,15119,397788,397788,7,156,0,104
Google,2014,104958162837,97,252,50757,262867,262945,0,234,0,147
Container Store,2009,59375573322,48381,248,1320,1640,1640,0,204,0,14
CH2M Hill,2014,130017893696618,148725,248,425,4912,4912,0,245,0,194
Children's Healthcare of Atlanta,2015,356527358185,76538,248,65800,2212671,2212736,0,242,0,58
St. Jude Children's Research Hospital,2011,6435441794,63378,247,3612,46858,46858,4,218,0,3
Build-A-Bear Workshop,2011,8783725165,95203,246,11412,42810,42810,0,196,0,1
Intel,2012,22707976849,74453,246,185301,6007970,6007998,25,201,0,100
JM Family Enterprises,2015,215824265320,38456,246,153,5007,5007,50,77,0,80
DreamWorks Animation SKG,2014,104770457523,35770,246,31404,1921659,1921670,0,233,0,143
Intel,2013,22707976849,74208,245,273272,15011679,15011681,0,230,0,113
Adobe,2016,305115773870,64593,243,155,14039,14487,3,222,0,44
Ultimate Software,2010,29660886831,50519,243,23,153,153,0,115,0,37
Brocade Communications Systems,2015,111983056070,146683,242,66,2294,2294,80,183,0,59
Herman Miller,2014,162638622561,164730,240,227,16529,16529,14,205,0,148
Capital One,2013,131080263606125,132973,239,2359,19112,19115,0,222,0,75
Intel,2014,22707976849,73969,239,54818,10976803,10976804,0,237,0,126
MITRE,2010,151373044800,156689,239,548,596,596,0,111,0,21
Marriott International,2015,143602039041041,84588,239,1053,36452,36455,0,171,0,132
Navy Federal Credit Union,2016,160344204010636,129729,235,1167,34289,34752,1,72,0,9
Children's Healthcare of Atlanta,2011,356527358185,77522,232,840,3694,3694,4,110,0,3
CH2M Hill,2013,130017893696618,148974,231,232,2630,2630,0,225,0,176
Teach For America,2013,8433834471,99752,231,2245,65348,65349,0,205,0,125
Capital One,2014,131080263606125,132742,231,7320,88784,88798,46,207,0,94
Novo Nordisk,2013,105548031768,71994,231,849,30321,30321,3,209,0,52
Novo Nordisk,2015,105548031768,71551,230,486,90123,90124,51,147,0,52
Autodesk,2015,74463019717,81056,230,32,1977,1977,49,123,0,86
Chesapeake Energy,2012,201579567564,41079,230,482,5160,5160,3,197,0,35
"ARI, Automotive Resources International",2016,282991730710,175475,225,72,788,825,85,17,0,14
Hitachi Data Systems,2013,124570004251813,111379,223,139,2048,2048,6,183,0,53
Booz Allen Hamilton,2016,115188672790,109547,222,109,3985,4032,0,221,0,157
CH2M Hill,2015,130017893696618,148504,221,195,1446,1446,0,214,0,161
WellStar Health System,2016,94455639888,177256,221,476,5591,5699,13,189,0,14
Salesforce.com,2009,5634829153,54686,220,91,78,78,0,16,0,6
OhioHealth,2016,40814021698,112435,220,127,2364,2426,77,76,0,101
